,names.1,names.2,names.3,names.4,names.5,names.6,names.7,names.8,names.9,names.10,names.11,names.12,names.13,names.14,scores.1,scores.2,scores.3,scores.4,scores.5,scores.6,scores.7,scores.8,scores.9,scores.10,scores.11,scores.12,scores.13,scores.14
25,Kcnq1ot1,Arhgap24,Gja1,Dlx6os1,Dlx6os1,Alx3,Klf12,Capn6,Dach1,Cdh2,Hist1h3e,Cyp26b1,Ccdc88c,Myzap,0.000640681678342715,0.00550529314766366,0.00127982690866203,0.00172301480323808,0.00155412948784676,0.00106445009251511,0.000691450313281871,0.000364811226451319,0.000606472290329586,0.000292894925680869,0.000528978926136385,0.000238635428230599,0.00140727150700663,0.0335155903680894
26,Col1a2,Mirg,Cdo1,Meis1,Nr2f2,Adgrl2,Nbl1,Sox9,Nhs,Rarb,Pitx1,Pitx1,Ncoa1,Gm12976,0.000640346963751924,0.0047440886675648,0.00122662734158664,0.00166966474884504,0.00153179631887192,0.00104577977650762,0.00068691089852839,0.000361270388331762,0.000588867154726047,0.000287055062875489,0.000528649583123596,0.000235833048114092,0.00126439488859725,0.0261743886660158
27,Eef1d,Fndc3c1,Ahnak,Foxp4,Tmem59l,Crabp1,Bnc2,Nnat,Tcf7l2,Plod2,Hist1h2bp,Cped1,Egr1,Tnfaip2,0.000638428467988568,0.0047334240545307,0.00120871324459198,0.00157194487892918,0.00152792974702551,0.00103401616647158,0.000679399721026635,0.000336884264422022,0.000522800710898628,0.000276770275150589,0.000491367795444593,0.00023271027284311,0.00120654572305988,0.0245040637791694
28,Marcks,Ptch1,Wnt5a,Cthrc1,Btbd3,Dock4,Sh3gl3,Casd1,Pitx1,Mgst1,Hist1h2bb,Pcdh17,Ptgis,Rasip1,0.000637979358527266,0.00440752293834748,0.00119430540155801,0.00123455029771708,0.00152661609223275,0.00100438602938433,0.000639541557768007,0.000325321176531336,0.000519590835419345,0.000257944328829794,0.000485320781720799,0.000231225565010773,0.00119464104949857,0.0234594359703824
29,Tut4,Rian,Igf1,Homer2,Spry2,Id2,Ap1s2,Col2a1,Negr1,Foxo3,Hist1h2be,Zfp536,Gamt,Klf2,0.000636476630818337,0.0042572607977335,0.00111363950184926,0.00122998060397104,0.00147798678334055,0.000984896022144743,0.00061635940263434,0.00032018599690062,0.000504100588562476,0.000246709933988436,0.000466288466253637,0.000227133426497713,0.00114643071852807,0.0197088345682293
30,Hnrnpa1,Sparcl1,Aopep,Hist1h4h,Sema5a,2810403D21Rik,Tshz1,Six1,Fli1,Fign,Hist1h3a,Eya1,Magi3,Cd200,0.000635033486695501,0.00410664614424869,0.00109506946283505,0.00113246213152789,0.00145503345745349,0.000957228141207948,0.000603217972283416,0.000315542217346858,0.000498729618050879,0.000246151272831774,0.000459448504934524,0.000225775968400612,0.00110471902828422,0.0195809399605232
31,Ndufa4,Foxf2,Lix1,Rab11fip2,Tril,Fgd6,Ddit4,Sobp,Dlx1,A830082K12Rik,Hist1h2bj,Col26a1,Ckb,Cavin3,0.000628621378037763,0.00408417586357521,0.00102637257039211,0.00111692791929387,0.00142973238071395,0.000951774961875718,0.000586549967521835,0.000314636937202253,0.000489065784865125,0.000241650341215515,0.000456114497577168,0.000214294653666465,0.00107120736559357,0.019476241789296
32,Eif2s2,Lpar4,Cachd1,Dlx2,Neil3,Tbx2,Tmem108,Negr1,Flrt2,Pdgfc,Esco2,Lum,Irs1,Crip2,0.000622768498167443,0.00373978285625974,0.000953250107123117,0.00108143212094605,0.00140296042185401,0.000928966673908226,0.00057743534257044,0.000312675691956176,0.000474585832947307,0.000240597506436958,0.000452327690719983,0.00020203616749581,0.00102009110285392,0.0170095008097106
33,Rbm39,Foxd1,Sostdc1,Ccn1,Prr16,Ankrd12,Col1a1,Igfbp4,Foxf2,Slc38a4,Hist1h4h,Tbx2,Elavl2,Dusp3,0.000622544859180078,0.00367039590577675,0.000857496388083338,0.00103271842719297,0.00136487299077192,0.000921441579325041,0.000569361795228756,0.000309566363592896,0.000473209514969748,0.000231098466294769,0.000404547369877034,0.000181615118066546,0.000943022315121285,0.0151963751071655
34,Srrm2,Postn,Fzd10os,Col9a1,Slf1,Fzd10os,Zfhx4,Igf2,Nnat,Ank3,Col25a1,Spry1,Sema3c,Phactr1,0.000621677007087058,0.00361272567454676,0.000834770692033376,0.00099947811153265,0.00135202339471583,0.000916717993319528,0.000543143069652022,0.000308395892027085,0.000472310070649875,0.000223771535731432,0.000382913034260091,0.000171045957180923,0.00090161512480559,0.0149316951280768
