,x
1134,Arhgdia
1135,Asph
1136,Rock1
1137,Ago2
1138,Usp9x
1139,Tars
1140,Eapp
1141,Echs1
1142,Smarca2
1143,Fyttd1
1144,Blmh
1145,Commd1
1146,Strap
1147,Fdps
1148,Psmd14
1149,Fundc2
1150,Glg1
1151,Hand2
1152,Nop53
1153,Ccz1
1154,Rbfox2
1155,Spc24
1156,Nifk
1157,Myo1b
1158,Rhobtb3
1159,Resf1
1160,Wdr45b
1161,Stox2
1162,Tsg101
1163,Ube2v2
1164,Usp3
1165,Nrd1
1166,Pcdh18
1167,Asf1a
1168,Msx1
1169,Ier3ip1
1170,Peli1
1171,Ost4
1172,Bcl9
1173,Ubn2
1174,Gm4258
1175,Pet100
1176,Tln1
1177,Zwint
1178,Setd2
1179,Emsy
1180,Mtch2
1181,Ahnak
1182,Strn3
1183,Mast4
1184,App
1185,Sema5a
1186,Dazap1
1187,Rpn2
1188,Edf1
1189,Rbp1
1190,Por
1191,Igsf3
1192,Hsd17b12
1193,Btbd7
1194,Tenm3
1195,Ttc14
1196,Rpap3
1197,Brix1
1198,Ppp2r2a
1199,Ak2
1200,Chd1
1201,Jund
1202,Rbis
1203,Rab5if
1204,Zfand6
1205,Pds5b
1206,Uhrf2
1207,Tnpo1
1208,Fbln2
1209,Tcf7l2
1210,Slc4a7
1211,Got2
1212,Uqcrc2
1213,Zmym4
1214,Tomm5
1215,Phf3
1216,Ralbp1
1217,Pole3
1218,Prpf6
1219,Tipin
1220,Hist1h1e
1221,Lrp1
1222,Wapl
1223,Tle5
1224,Actn4
1225,Ppm1g
1226,Oga
1227,Csnk2b
1228,Gcsh
1229,Spc25
1230,Trip12
1231,Sec63
1232,Cse1l
1233,Lsm12
1234,Mbtd1
1235,Kif15
1236,Tes
1237,Hadha
1238,Psenen
1239,Rbmx
1240,Suclg1
1241,Car14
1242,Crnkl1
1243,Zfr
1244,Cox16
1245,Col4a1
1246,Api5
1247,Rbms1
1248,Glrx5
1249,Cdc25a
1250,Lars
1251,Dnm1l
1252,Rala
1253,Cyp51
1254,Lnpk
1255,Clspn
1256,Ccnt2
1257,Ash2l
1258,Snrpa
1259,Chmp5
1260,Ccnb2
1261,Baz2b
1262,Galnt1
1263,Rsl24d1
1264,Snrnp40
1265,1110038F14Rik
1266,Hirip3
1267,Pom121
1268,Mllt3
1269,Atp6v1f
1270,Arpc1a
1271,Dnttip2
1272,Zfp148
1273,Snrnp48
1274,Aff4
1275,Usp10
1276,BC005561
1277,Rnf20
1278,Ola1
1279,Tomm70a
1280,Rangap1
1281,Puf60
1282,Slc24a5
1283,Senp5
1284,Cfap20
1285,Mesd
1286,Mlf2
1287,S100a11
1288,Hnrnpul2
1289,Paip1
1290,Cdk12
